"","SampleSize","Coverage","1MinusCoverage","ObservedTypes","ChaoEstimator","Chao/ObsTypes","ChaoMinusObsTypes"
"7",57,0.8427,0.1573,15,54.789,3.6526,39.789
"6",60,0.8672,0.1328,15,46.467,3.0978,31.467
"9",73,0.9477,0.0523,14,15.127,1.0805,1.127
"5",120,0.9919,0.0081,7,7.248,1.03542857142857,0.248
"4",140,0.9716,0.0284,15,20.957,1.39713333333333,5.957
"8",178,0.9777,0.0223,17,20.978,1.234,3.978
"3",303,0.9868,0.0132,15,20.98,1.39866666666667,5.98
"10",316,0.9874,0.0125999999999999,14,21.975,1.56964285714286,7.975
"1",317,0.9937,0.00629999999999997,6,7.994,1.33233333333333,1.994
"2",635,0.9937,0.00629999999999997,20,23.994,1.1997,3.994
