"dataset","totparticles","totsubsamps","randnum","randper","colnum","colper","shpnum","shpper","shpcolnum","shpcolper"
"lorenz plankton",472,23,23,23,43,3,30,8,67,2
"lorenz sediment",103,18,22,22,35,4,33,13,42,3
"bourdages birds",61,28,20,20,17,4,25,14,23,3
"teboul birds",52,6,15,15,19,5,21,7,26,4
"CJ sediment",361,87,26,26,93,13,44,20,105,13
"CJ inverts",361,64,21,21,53,10,39,23,61,10
"CJ inverts time",528,123,26,26,79,14,45,21,81,13
"rain garden",567,3,24,24,58,3,32,6,70,2
"vidal",720,3,1,1,13,1,4,1,29,1
